timestamp,path,status_code,content_type,bytes,width,height
20260525_014652,data/raw/captcha_20260525_014652_000001.jpg,200,image/jpeg;charset=UTF-8,1135,82,31
20260525_014653,data/raw/captcha_20260525_014653_000002.jpg,200,image/jpeg;charset=UTF-8,1433,82,31
20260525_014730,data/raw/captcha_20260525_014730_000001.jpg,200,image/jpeg;charset=UTF-8,1304,82,31
20260525_014731,data/raw/captcha_20260525_014731_000002.jpg,200,image/jpeg;charset=UTF-8,1204,82,31
20260525_014732,data/raw/captcha_20260525_014732_000003.jpg,200,image/jpeg;charset=UTF-8,1295,82,31
20260525_014733,data/raw/captcha_20260525_014733_000004.jpg,200,image/jpeg;charset=UTF-8,1154,82,31
20260525_014734,data/raw/captcha_20260525_014734_000005.jpg,200,image/jpeg;charset=UTF-8,1292,82,31
20260525_014735,data/raw/captcha_20260525_014735_000006.jpg,200,image/jpeg;charset=UTF-8,1416,82,31
20260525_014736,data/raw/captcha_20260525_014736_000007.jpg,200,image/jpeg;charset=UTF-8,1264,82,31
20260525_014737,data/raw/captcha_20260525_014737_000008.jpg,200,image/jpeg;charset=UTF-8,1405,82,31
20260525_014738,data/raw/captcha_20260525_014738_000009.jpg,200,image/jpeg;charset=UTF-8,1311,82,31
20260525_014739,data/raw/captcha_20260525_014739_000010.jpg,200,image/jpeg;charset=UTF-8,1228,82,31
20260525_014740,data/raw/captcha_20260525_014740_000011.jpg,200,image/jpeg;charset=UTF-8,1299,82,31
20260525_014741,data/raw/captcha_20260525_014741_000012.jpg,200,image/jpeg;charset=UTF-8,1335,82,31
20260525_014742,data/raw/captcha_20260525_014742_000013.jpg,200,image/jpeg;charset=UTF-8,1334,82,31
20260525_014743,data/raw/captcha_20260525_014743_000014.jpg,200,image/jpeg;charset=UTF-8,1083,82,31
20260525_014744,data/raw/captcha_20260525_014744_000015.jpg,200,image/jpeg;charset=UTF-8,1331,82,31
20260525_014745,data/raw/captcha_20260525_014745_000016.jpg,200,image/jpeg;charset=UTF-8,1291,82,31
